date,country,age,sex,fatal,activity,type
July,AUSTRALIA,,M,N,vessel related,
July,USA,43.0,M,N,fishing,Provoked
July,AUSTRALIA,18.0,M,N,surfing,Unprovoked
July,,29.0,M,N,surfing,Unprovoked
July,AUSTRALIA,36.0,M,N,surfing,Unprovoked
July,,,M,N,fishing,Unprovoked
July,AUSTRALIA,31.0,M,N,fishing,Provoked
July,USA,,,N,fishing,
July,USA,9.0,F,N,surfing,Unprovoked
July,USA,11.0,F,N,other activity,Unprovoked
July,USA,61.0,M,N,surfing,Unprovoked
July,USA,,M,N,swimming,Unprovoked
July,,,M,N,swimming,Unprovoked
July,,10.0,F,N,Close to the water,Unprovoked
July,USA,,M,N,fishing,
July,USA,59.0,M,N,fishing,Provoked
July,USA,,M,N,fishing,
July,USA,42.0,F,N,swimming,Unprovoked
July,AUSTRALIA,34.0,M,N,fishing,Provoked
June,USA,35.0,M,N,other activity,Unprovoked
June,USA,11.0,M,N,surfing,Unprovoked
June,,59.0,M,N,swimming,Unprovoked
June,SOUTH AFRICA,43.0,M,N,fishing,Unprovoked
June,USA,42.0,M,N,swimming,Unprovoked
June,USA,,M,N,Close to the water,Unprovoked
June,USA,,M,N,surfing,Unprovoked
June,AUSTRALIA,19.0,M,N,fishing,Provoked
June,USA,6.0,F,N,swimming,Unprovoked
June,USA,19.0,M,N,Close to the water,Unprovoked
June,USA,27.0,M,,surfing,
June,USA,64.0,M,N,swimming,Unprovoked
June,AUSTRALIA,60.0,F,Y,swimming,Unprovoked
June,,23.0,M,N,swimming,Unprovoked
June,AUSTRALIA,,M,,fishing,Unprovoked
June,,,M,N,surfing,Unprovoked
May,AUSTRALIA,29.0,M,Y,surfing,Unprovoked
May,USA,52.0,F,N,swimming,Unprovoked
May,USA,13.0,M,N,swimming,Unprovoked
May,USA,57.0,F,N,swimming,Unprovoked
May,USA,22.0,F,N,swimming,Unprovoked
May,USA,11.0,F,N,swimming,Unprovoked
May,USA,48.0,M,N,swimming,Unprovoked
May,USA,23.0,F,N,other activity,Provoked
May,USA,59.0,M,N,swimming,Unprovoked
May,NEW ZEALAND,39.0,M,N,fishing,Provoked
